image_id,file_path,loan_id,similar_group,is_similar_pair,edit_type,base_from,姓名,性别,民族,出生日期,住址,身份证号,签发机关,有效期限,甲方名称,借款金额,借款期限(月),借款用途,还款方式,same_iddd
IMG_00003,loan_001/face_signing.jpg,LN2024000001,,0,,,,,,,,,,,,,,,,
IMG_00008,loan_002/face_signing.jpg,LN2024000002,SG_001,1,,,,,,,,,,,,,,,,
IMG_00013,loan_003/face_signing.jpg,LN2024000003,,0,,,,,,,,,,,,,,,,
IMG_00018,loan_004/face_signing.jpg,LN2024000004,,0,,,,,,,,,,,,,,,,
IMG_00023,loan_005/face_signing.jpg,LN2024000005,SG_002,1,,,,,,,,,,,,,,,,
IMG_00028,loan_006/face_signing.jpg,LN2024000006,,0,,,,,,,,,,,,,,,,
IMG_00033,loan_007/face_signing.jpg,LN2024000007,,0,,,,,,,,,,,,,,,,
IMG_00038,loan_008/face_signing.jpg,LN2024000008,,0,,,,,,,,,,,,,,,,
IMG_00043,loan_009/face_signing.jpg,LN2024000009,,0,,,,,,,,,,,,,,,,
IMG_00048,loan_010/face_signing.jpg,LN2024000010,,0,,,,,,,,,,,,,,,,
IMG_00053,loan_011/face_signing.jpg,LN2024000011,SG_003,1,,,,,,,,,,,,,,,,
IMG_00058,loan_012/face_signing.jpg,LN2024000012,SG_004,1,,,,,,,,,,,,,,,,
IMG_00063,loan_013/face_signing.jpg,LN2024000013,SG_005,1,,,,,,,,,,,,,,,,
IMG_00068,loan_014/face_signing.jpg,LN2024000014,,0,,,,,,,,,,,,,,,,
IMG_00073,loan_015/face_signing.jpg,LN2024000015,,0,,,,,,,,,,,,,,,,
IMG_00078,loan_016/face_signing.jpg,LN2024000016,SG_006,1,,,,,,,,,,,,,,,,
IMG_00083,loan_017/face_signing.jpg,LN2024000017,SG_007,1,,,,,,,,,,,,,,,,
IMG_00088,loan_018/face_signing.jpg,LN2024000018,,0,,,,,,,,,,,,,,,,
IMG_00093,loan_019/face_signing.jpg,LN2024000019,,0,,,,,,,,,,,,,,,,
IMG_00098,loan_020/face_signing.jpg,LN2024000020,,0,,,,,,,,,,,,,,,,
IMG_00103,loan_021/face_signing.jpg,LN2024000021,,0,,,,,,,,,,,,,,,,
IMG_00108,loan_022/face_signing.jpg,LN2024000022,,0,,,,,,,,,,,,,,,,
IMG_00113,loan_023/face_signing.jpg,LN2024000023,SG_008,1,,,,,,,,,,,,,,,,
IMG_00118,loan_024/face_signing.jpg,LN2024000024,,0,,,,,,,,,,,,,,,,
IMG_00123,loan_025/face_signing.jpg,LN2024000025,SG_009,1,,,,,,,,,,,,,,,,
IMG_00128,loan_026/face_signing.jpg,LN2024000026,,0,,,,,,,,,,,,,,,,
IMG_00133,loan_027/face_signing.jpg,LN2024000027,,0,,,,,,,,,,,,,,,,
IMG_00138,loan_028/face_signing.jpg,LN2024000028,SG_010,1,,,,,,,,,,,,,,,,
IMG_00143,loan_029/face_signing.jpg,LN2024000029,,0,,,,,,,,,,,,,,,,
IMG_00148,loan_030/face_signing.jpg,LN2024000030,,0,,,,,,,,,,,,,,,,
IMG_00153,loan_031/face_signing.jpg,LN2024000031,,0,,,,,,,,,,,,,,,,
IMG_00158,loan_032/face_signing.jpg,LN2024000032,,0,,,,,,,,,,,,,,,,
IMG_00163,loan_033/face_signing.jpg,LN2024000033,,0,,,,,,,,,,,,,,,,
IMG_00168,loan_034/face_signing.jpg,LN2024000034,,0,,,,,,,,,,,,,,,,
IMG_00173,loan_035/face_signing.jpg,LN2024000035,SG_011,1,,,,,,,,,,,,,,,,
IMG_00178,loan_036/face_signing.jpg,LN2024000036,,0,,,,,,,,,,,,,,,,
IMG_00183,loan_037/face_signing.jpg,LN2024000037,,0,,,,,,,,,,,,,,,,
IMG_00188,loan_038/face_signing.jpg,LN2024000038,,0,,,,,,,,,,,,,,,,
IMG_00193,loan_039/face_signing.jpg,LN2024000039,,0,,,,,,,,,,,,,,,,
IMG_00198,loan_040/face_signing.jpg,LN2024000040,,0,,,,,,,,,,,,,,,,
IMG_00203,loan_041/face_signing.jpg,LN2024000041,,0,,,,,,,,,,,,,,,,
IMG_00208,loan_042/face_signing.jpg,LN2024000042,SG_012,1,,,,,,,,,,,,,,,,
IMG_00213,loan_043/face_signing.jpg,LN2024000043,SG_013,1,,,,,,,,,,,,,,,,
IMG_00218,loan_044/face_signing.jpg,LN2024000044,,0,,,,,,,,,,,,,,,,
IMG_00223,loan_045/face_signing.jpg,LN2024000045,SG_014,1,,,,,,,,,,,,,,,,
IMG_00228,loan_046/face_signing.jpg,LN2024000046,,0,,,,,,,,,,,,,,,,
IMG_00233,loan_047/face_signing.jpg,LN2024000047,,0,,,,,,,,,,,,,,,,
IMG_00238,loan_048/face_signing.jpg,LN2024000048,,0,,,,,,,,,,,,,,,,
IMG_00243,loan_049/face_signing.jpg,LN2024000049,,0,,,,,,,,,,,,,,,,
IMG_00248,loan_050/face_signing.jpg,LN2024000050,SG_015,1,,,,,,,,,,,,,,,,
